review,sentiment,tfidf_vector
"['phil', 'alien', 'one', 'quirky', 'film', 'humour', 'base', 'around', 'oddness', 'everything', 'rather', 'actual', 'punchlinesbr', 'first', 'odd', 'pretty', 'funny', 'movie', 'progress', 'didnt', 'find', 'joke', 'oddness', 'funny', 'anymorebr', 'low', 'budget', 'film', 'thats', 'never', 'problem', 'pretty', 'interest', 'character', 'eventually', 'lose', 'interestbr', 'imagine', 'film', 'would', 'appeal', 'stoner', 'currently', 'partakingbr', 'something', 'similar', 'better', 'try', 'brother', 'another', 'planet']",negative,[0. 0. 0. ... 0. 0. 0.]
"['saw', 'movie', '12', 'come', 'recall', 'scariest', 'scene', 'big', 'bird', 'eat', 'men', 'dangle', 'helplessly', 'parachute', 'right', 'air', 'horror', 'horrorbr', 'young', 'kid', 'go', 'cheesy', 'b', 'film', 'saturday', 'afternoons', 'still', 'tire', 'formula', 'monster', 'type', 'movies', 'usually', 'include', 'hero', 'beautiful', 'woman', 'might', 'daughter', 'professor', 'happy', 'resolution', 'monster', 'die', 'end', 'didnt', 'care', 'much', 'romantic', 'angle', '12', 'year', 'old', 'predictable', 'plot', 'love', 'unintentional', 'humorbr', 'year', 'later', 'saw', 'psycho', 'come', 'love', 'star', 'janet', 'leigh', 'bump', 'early', 'film', 'sit', 'take', 'notice', 'point', 'since', 'screenwriters', 'make', 'story', 'make', 'scary', 'possible', 'wellworn', 'formula', 'rule']",negative,[0. 0. 0. ... 0. 0. 0.]
"['im', 'big', 'fan', 'bolls', 'work', 'many', 'enjoy', 'movie', 'postal', 'maybe', 'im', 'one', 'boll', 'apparently', 'buy', 'right', 'use', 'far', 'cry', 'long', 'ago', 'even', 'game', 'even', 'finsished', 'people', 'enjoy', 'kill', 'mercs', 'infiltrate', 'secret', 'research', 'labs', 'locate', 'tropical', 'island', 'warn', 'far', 'cry', 'something', 'mr', 'boll', 'scheme', 'together', 'along', 'legion', 'schmucks', 'feel', 'loneley', 'set', 'mr', 'boll', 'invite', 'three', 'countrymen', 'play', 'players', 'go', 'name', 'til', 'schweiger', 'udo', 'kier', 'ralf', 'moellerbr', 'three', 'name', 'actually', 'make', 'selfs', 'pretty', 'big', 'movie', 'biz', 'tale', 'go', 'like', 'jack', 'carver', 'play', 'til', 'schweiger', 'yes', 'carver', 'german', 'hail', 'bratwurst', 'eat', 'dudes', 'however', 'find', 'tils', 'act', 'movie', 'pretty', 'badass', 'people', 'complain', 'hes', 'really', 'stay', 'true', 'whole', 'carver', 'agenda', 'saw', 'carver', 'first', 'person', 'perspective', 'dont', 'really', 'know', 'look', 'like', 'kick', 'however', 'storyline', 'film', 'beyond', 'demented', 'see', 'evil', 'mad', 'scientist', 'dr', 'krieger', 'play', 'udo', 'kier', 'make', 'geneticallymutatedsoldiers', 'gms', 'call', 'perform', 'topsecret', 'research', 'island', 'remind', 'spoiler', 'vancouver', 'reason', 'thats', 'right', 'palm', 'tree', 'instead', 'get', 'nice', 'rich', 'lumberjackwoods', 'havent', 'even', 'go', 'far', 'start', 'cry', 'mehehe', 'can', 'not', 'go', 'wan', 'na', 'stay', 'true', 'bolls', 'shenanigans', 'go', 'see', 'movie', 'disappoint', 'deliver', 'true', 'boll', 'experience', 'mean', 'suckbr', 'things', 'worth', 'mention', 'would', 'imply', 'boll', 'good', 'work', 'areas', 'film', 'nice', 'boat', 'fight', 'scenes', 'whole', 'cromedalbino', 'gms', 'squad', 'enter', 'scene', 'everything', 'make', 'laugh', 'movie', 'far', 'cry', 'reek', 'scheisse', 'thats', 'poop', 'simpletons', 'far', 'wan', 'na', 'take', 'wiff', 'go', 'ahead', 'btw', 'carver', 'get', 'annoy', 'sidekick', 'make', 'wan', 'na', 'shoot', 'first', 'three', 'minutes', 'hes', 'screen']",negative,[0. 0. 0. ... 0. 0. 0.]
"['cast', 'play', 'shakespearebr', 'shakespeare', 'lostbr', 'appreciate', 'try', 'bring', 'shakespeare', 'mass', 'ruin', 'something', 'goodbr', 'scottish', 'play', 'favorite', 'shakespeare', 'know', 'know', 'certain', 'rev', 'bowdler', 'hence', 'bowdlerization', 'try', 'something', 'similar', 'victorian', 'erabr', 'word', 'can', 'not', 'improve', 'perfectionbr', 'write', 'write', 'least', 'ten', 'line', 'text', 'english', 'composition', 'never', 'forte', 'keep', 'go', 'say', 'movie', 'say', 'go', 'cut']",negative,[0. 0. 0. ... 0. 0. 0.]
"['fantastic', 'movie', 'three', 'prisoners', 'become', 'famous', 'one', 'actors', 'george', 'clooney', 'im', 'fan', 'roll', 'bad', 'another', 'good', 'thing', 'movie', 'soundtrack', 'man', 'constant', 'sorrow', 'recommand', 'movie', 'everybody', 'greetings', 'bart']",positive,[0. 0. 0. ... 0. 0. 0.]
"['kind', 'draw', 'erotic', 'scenes', 'realize', 'one', 'amateurish', 'unbelievable', 'bits', 'film', 'ive', 'ever', 'see', 'sort', 'like', 'high', 'school', 'film', 'project', 'rosanna', 'arquette', 'think', 'stock', 'character', 'bizarre', 'suppose', 'midwest', 'town', 'pretty', 'hard', 'get', 'involve', 'one', 'lessons', 'learn', 'brilliant', 'insights', 'stilted', 'quite', 'ridiculous', 'lot', 'skin', 'intrigue', 'videotape', 'nonsensewhat', 'bisexual', 'relationship', 'nowhere', 'heterosexual', 'encounter', 'absurd', 'dance', 'everybody', 'play', 'stereotype', 'roles', 'give', 'one', 'pass', 'like', 'million', 'miles', 'bad', 'waste', 'film', 'money', 'could', 'spend', 'starve', 'children', 'aid', 'africa']",negative,[0. 0. 0. ... 0. 0. 0.]
"['film', 'simply', 'remake', 'one', 'bad', 'film', 'fail', 'capture', 'flavor', 'terror', '1963', 'film', 'title', 'liam', 'neeson', 'excellent', 'always', 'cast', 'hold', 'exception', 'owen', 'wilson', 'bring', 'right', 'feel', 'character', 'luke', 'major', 'fault', 'version', 'stray', 'far', 'shirley', 'jackson', 'story', 'attempt', 'grandiose', 'lose', 'thrill', 'earlier', 'film', 'trade', 'snazzier', 'special', 'effect', 'say', 'bad', 'film', 'enjoy', 'friction', 'terror', 'older', 'version', 'much']",positive,[0. 0. 0. ... 0. 0. 0.]
"['movie', 'make', 'one', 'top', '10', 'awful', 'movies', 'horrible', 'wasnt', 'continuous', 'minute', 'wasnt', 'fight', 'one', 'monster', 'another', 'chance', 'character', 'development', 'busy', 'run', 'one', 'sword', 'fight', 'another', 'emotional', 'attachment', 'except', 'big', 'bad', 'machine', 'want', 'destroy', 'scenes', 'blatantly', 'steal', 'movies', 'lotr', 'star', 'war', 'matrix', 'examplesbr', 'ghost', 'scene', 'end', 'steal', 'final', 'scene', 'old', 'star', 'war', 'yoda', 'obee', 'one', 'vader', 'spider', 'machine', 'begin', 'exactly', 'like', 'frodo', 'attack', 'spider', 'return', 'kings', 'elijah', 'wood', 'victim', 'film', 'waitit', 'hypnotize', 'sting', 'victim', 'wrap', 'upuh', 'hellobr', 'whole', 'machine', 'vs', 'humans', 'theme', 'matrixor', 'terminatorbr', 'examples', 'waste', 'time', 'someone', 'tell', 'nazis', 'nazis', 'juvenile', 'story', 'line', 'rush', 'juvenile', 'conclusion', 'movie', 'could', 'decide', 'childrens', 'movie', 'adult', 'movie', 'wasnt', 'much', 'either', 'awful', 'real', 'disappointment', 'say', 'least', 'save', 'money']",negative,[0. 0. 0. ... 0. 0. 0.]
"['remember', 'filmit', 'first', 'film', 'watch', 'cinema', 'picture', 'dark', 'place', 'nervous', 'back', '7475', 'dad', 'take', 'brother', 'sister', 'newbury', 'cinema', 'newbury', 'berkshire', 'england', 'recall', 'tigers', 'lot', 'snow', 'film', 'also', 'appearance', 'grizzly', 'adams', 'actor', 'dan', 'haggery', 'think', 'one', 'tigers', 'get', 'shoot', 'die', 'anyone', 'know', 'find', 'dvd', 'etc', 'please', 'let', 'knowthe', 'cinema', 'turn', 'fitness', 'club', 'big', 'shame', 'nearest', 'cinema', '20', 'miles', 'away', 'would', 'love', 'hear', 'others', 'see', 'film', 'like']",positive,[0. 0. 0. ... 0. 0. 0.]
"['awful', 'film', 'must', 'real', 'stinkers', 'nominate', 'golden', 'globe', 'theyve', 'take', 'story', 'first', 'famous', 'female', 'renaissance', 'painter', 'mangle', 'beyond', 'recognition', 'complaint', 'theyve', 'take', 'liberties', 'facts', 'story', 'good', 'would', 'perfectly', 'fine', 'simply', 'bizarre', 'account', 'true', 'story', 'artist', 'would', 'make', 'far', 'better', 'film', 'come', 'dishwaterdull', 'script', 'suppose', 'werent', 'enough', 'naked', 'people', 'factual', 'version', 'hurriedly', 'cap', 'end', 'summary', 'artists', 'life', 'could', 'save', 'couple', 'hours', 'theyd', 'favor', 'rest', 'film', 'brevity']",negative,[0. 0. 0. ... 0. 0. 0.]
"['success', 'die', 'hard', 'sequels', 'surprise', 'really', '1990s', 'glut', 'die', 'hard', 'movies', 'cash', 'wrong', 'guy', 'wrong', 'place', 'wrong', 'time', 'concept', 'cliffhanger', 'die', 'hard', 'mountain', 'time', 'rescue', 'sly', 'stop', 'mom', 'shoot', 'stallones', 'careerbr', 'cliffhanger', 'one', 'big', 'nitpickers', 'dream', 'especially', 'expert', 'mountain', 'climb', 'basejumping', 'aviation', 'facial', 'expressions', 'act', 'skills', 'full', 'excuse', 'dismiss', 'film', 'one', 'overblown', 'pile', 'junk', 'stallone', 'even', 'manage', 'get', 'outacted', 'horse', 'however', 'forget', 'nonsense', 'actually', 'lovable', 'undeniably', 'entertain', 'romp', 'deliver', 'plenty', 'thrill', 'unintentionally', 'plenty', 'laughsbr', 'youve', 'get', 'love', 'john', 'lithgows', 'sneery', 'evilness', 'tick', 'every', 'box', 'band', 'baddies', 'best', 'permanently', 'harass', 'hapless', 'turncoat', 'agent', 'rex', 'linn', 'traversbr', 'may', 'henry', 'portrait', 'serial', 'killer', 'michael', 'rooker', 'noteworthy', 'cringeworthy', 'performance', 'hal', 'insist', 'constantly', 'shriek', 'painful', 'disbelief', 'captors', 'man', 'never', 'hurt', 'anybody', 'whilst', 'surely', 'cant', 'really', 'look', 'like', 'ralph', 'wait', 'frank', 'character', 'grin', 'girl', 'plummet', 'deathbr', 'mention', 'must', 'go', 'former', 'londons', 'burn', 'actor', 'craig', 'fairbrass', 'brit', 'bad', 'guy', 'come', 'cropper', 'whilst', 'use', 'hal', 'human', 'football', 'yes', 'cant', 'help', 'enjoy', 'bite', 'hal', 'need', 'good', 'kickingbr', 'forget', 'better', 'judgement', 'care', 'could', 'never', 'happen', 'lower', 'act', 'expectations', 'turn', 'volume', 'enjoy', 'youre', 'look', 'qaulen', 'hes', 'one', 'wear', 'helicopter']",positive,[0. 0. 0. ... 0. 0. 0.]
"['terrible', 'misfortune', 'view', 'bmovie', 'entiretybr', 'say', 'save', 'time', 'money', 'get', 'worst', 'bmovie', 'time', 'shouldnt', 'even', 'call', 'bmovie', 'like', 'fmovie', 'fail', 'aspects', 'make', 'good', 'movie', 'story', 'interest', 'actors', 'paperthin', 'believable', 'bad', 'direction', 'action', 'sequence', 'fake', 'almost', 'funnyalmostbr', 'movie', 'pack', 'full', 'crappy', 'oneliners', 'respectable', 'person', 'could', 'find', 'amuse', 'least', 'little', 'bitbr', 'movie', 'suppose', 'gear', 'towards', 'men', 'women', 'utterly', 'unattractive', 'especially', 'old', 'wrinkle', 'thing', 'come', 'towards', 'end', 'try', 'appear', 'sexy', 'weird', 'horrible', 'costume', 'fail', 'miserablybr', 'even', 'ridiculous', 'bmovies', 'still', 'give', 'laugh', 'painful', 'watch']",negative,[0. 0. 0. ... 0. 0. 0.]
"['absolutely', 'stun', 'movie', '25', 'hrs', 'kill', 'watch', 'wont', 'regret', 'much', 'fun', 'rajnikanth', 'carry', 'movie', 'shoulder', 'although', 'isnt', 'anything', 'still', 'like', 'music', 'arrehman', 'take', 'time', 'grow', 'hear', 'time', 'really', 'start', 'like']",positive,[0. 0. 0. ... 0. 0. 0.]
"['first', 'let', 'get', 'things', 'straight', 'anime', 'fan', 'always', 'matter', 'fact', 'use', 'watch', 'speed', 'racer', 'time', 'preschool', 'b', 'like', 'several', 'bmovies', 'theyre', 'hilarious', 'c', 'like', 'godzilla', 'movies', 'lotbr', 'move', 'movie', 'first', 'come', 'seem', 'like', 'go', 'usual', 'bmovie', 'crappy', 'fx', 'sudden', 'boom', 'anime', 'come', 'movie', 'go', 'wwwaaaaayyyyy', 'downhillbr', 'animation', 'bad', 'cheap', 'even', 'worse', 'remember', 'speed', 'racer', 'crissakes', 'fact', 'cheap', 'one', 'scenes', 'movie', 'vividly', 'remember', 'bunch', 'kid', 'run', 'school', 'kid', 'fx', 'terrible', 'dinosaurs', 'look', 'worse', 'godzilla', 'addition', 'transition', 'live', 'action', 'animation', 'unorganized', 'dialogue', 'voicesespecially', 'english', 'dub', 'view', 'horrid', 'beg', 'dad', 'take', 'tape', 'dvd', 'vhs', 'player', 'thing', 'keep', 'survive', 'crack', 'joke', 'comment', 'like', 'robots', 'joelmike', 'mst3k', 'pick', 'season', 'honestly', 'way', 'barely', 'enjoy', 'movie', 'survive', 'timebr', 'heck', 'im', 'plan', 'show', 'another', 'fellow', 'otaku', 'pal', 'mine', 'halloween', 'bmovie', 'night', 'stupid', 'pretty', 'painful', 'watch', 'unintentionally', 'hilarious', 'time', 'im', 'give', 'movie', '310', 'improvement', '0510', 'originally', 'go', 'give', 'itbr', 'accord', 'grade', 'scale', '310', 'mean', 'pretty', 'much', 'bore', 'bad', 'fun', 'count', 'three', 'unless', 'find', 'way', 'make', 'fun', 'become', 'fun', 'count', '15']",negative,[0. 0. 0. ... 0. 0. 0.]
"['worst', 'movie', 'saw', 'worldfest', 'also', 'receive', 'least', 'amount', 'applause', 'afterwards', 'think', 'receive', 'recognition', 'base', 'amount', 'know', 'actors', 'film', 'great', 'see', 'jbeals', 'shes', 'movie', 'minutes', 'mparker', 'much', 'better', 'actress', 'part', 'allow', 'rest', 'act', 'hard', 'judge', 'movie', 'ridiculous', 'predictable', 'main', 'character', 'totally', 'unsympathetic', 'therefore', 'bore', 'watch', 'real', 'emotional', 'depth', 'story', 'movie', 'revolve', 'actor', 'cant', 'get', 'work', 'doesnt', 'feel', 'original', 'development', 'cop', 'feel', 'like', 'one', 'many', 'straighttovideo', 'movies', 'saw', 'back', '90s', 'even', 'good', 'one', 'standardsbr']",negative,[0. 0. 0. ... 0. 0. 0.]
"['karen', 'carpenter', 'story', 'show', 'little', 'singer', 'karen', 'carpenter', 'complex', 'life', 'though', 'fail', 'give', 'accurate', 'facts', 'detailsbr', 'cynthia', 'gibb', 'portray', 'karen', 'fine', 'election', 'good', 'actress', 'play', 'naive', 'sort', 'dumb', 'karen', 'carpenter', 'think', 'role', 'need', 'stronger', 'character', 'someone', 'stronger', 'personalitybr', 'louise', 'fletcher', 'role', 'agnes', 'carpenter', 'terrific', 'great', 'job', 'karens', 'motherbr', 'great', 'songs', 'could', 'include', 'soundtrack', 'album', 'unfortunately', 'werent', 'though', 'movie', 'top', 'ratings', 'usa', 'several', 'countries']",positive,[0. 0. 0. ... 0. 0. 0.]
"['cell', 'exotic', 'masterpiece', 'dizzy', 'trip', 'vast', 'mind', 'serial', 'killer', 'also', 'one', 'talented', 'director', 'conclusive', 'evidence', 'achieve', 'human', 'beings', 'unleash', 'uninhibited', 'imaginations', 'boldness', 'work', 'push', 'aside', 'thoughts', 'fall', 'formulas', 'cliches', 'create', 'something', 'truly', 'magnificent', 'best', 'movie', 'year', 'datebr', 'ive', 'read', 'numerous', 'complaints', 'film', 'anywhere', 'style', 'substance', 'poorly', 'cast', 'character', 'bad', 'act', 'negatively', 'criticize', 'film', 'miss', 'point', 'movie', 'may', 'landmark', 'tradition', 'future', 'movies', 'hopefully', 'follow', 'cell', 'open', 'door', 'another', 'world', 'imagination', 'slam', 'door', 'face', 'tell', 'director', 'tarsem', 'singh', 'dont', 'want', 'personally', 'would', 'welcome', 'another', 'movie', 'tarsem', 'would', 'love', 'see', 'someone', 'try', 'challenge', 'himbr', 'weve', 'hear', 'talk', 'go', 'inside', 'mind', 'serial', 'killer', 'yes', 'agree', 'genre', 'bite', 'overwork', '90s', 'full', 'movies', 'try', 'depict', 'make', 'serial', 'killers', 'tick', 'work', 'fail', 'cell', 'blaze', 'trail', 'give', 'new', 'twist', 'physically', 'transport', 'mind', 'present', 'nothing', 'less', 'fascinate', 'journey', 'mysterious', 'subject', 'matter', 'ever', 'studiedbr', 'like', 'movie', 'bog', 'us', 'much', 'scientific', 'jargon', 'try', 'explain', 'jennifer', 'lopez', 'actually', 'get', 'enter', 'brain', 'another', 'instead', 'lie', 'laboratory', 'table', 'wrap', 'look', 'like', 'really', 'long', 'twizzlers', 'jaunt', 'another', 'entity', 'cell', 'want', 'let', 'see', 'guess', 'thats', 'people', 'dont', 'like', 'true', 'like', 'explanations', 'movies', 'movie', 'venture', 'onto', 'new', 'grind', 'must', 'let', 'desire', 'simply', 'take', 'inbr', 'notice', 'film', 'dark', 'show', 'reality', 'maybe', 'contrast', 'bright', 'visuals', 'inside', 'brain', 'another', 'nonetheless', 'set', 'design', 'simply', 'astonish', 'wouldnt', 'surprise', 'film', 'take', 'home', 'oscars', 'cinematography', 'best', 'costume', 'best', 'director', 'like', 'itd', 'least', 'get', 'nominate', 'best', 'picturebr', 'ive', 'notice', 'ive', 'kind', 'repeat', 'theres', 'nothing', 'else', 'say', 'cant', 'stress', 'enough', 'fantastic', 'think', 'cell', 'walk', 'movie', 'open', 'mind', 'take', 'wonder', 'eyepopping', 'feast', 'assure', 'good', 'time', 'guess', 'film', 'little', 'much', 'people', 'write', 'weird', 'crazy', 'much', 'psychology', 'imagination', 'human', 'mind', 'right', 'alley', 'leave', 'theater', 'hear', 'one', 'audience', 'member', 'say', 'whoever', 'make', 'movie', 'sure', 'lot', 'good', 'drug', 'want', 'smokingbr', '4']",positive,[0. 0. 0. ... 0. 0. 0.]
"['film', 'try', 'many', 'things', 'sting', 'political', 'satire', 'hollywood', 'blockbuster', 'sappy', 'romantic', 'comedy', 'family', 'value', 'promo', 'list', 'go', 'fail', 'miserably', 'enough', 'interest', 'keep', 'turn', 'endbr', 'although', 'appreciate', 'spirit', 'behind', 'war', 'inc', 'depress', 'see', 'clumsy', 'effort', 'especially', 'take', 'target', 'reflect', 'lack', 'existence', 'serious', 'critique', 'rather', 'simply', 'poor', 'write', 'direction', 'production', 'particular', 'filmbr', 'critique', 'make', 'corporatization', 'war', 'poke', 'fun', 'way', 'diminish', 'true', 'atrocity', 'happen', 'remind', 'bite', 'three', 'kings', 'similarly', 'trivialize', 'genuine', 'cause', 'concern']",negative,[0. 0. 0. ... 0. 0. 0.]
